followers,is_public,is_collaborative,num_of_songs,num_of_markets_avg,song_popularity_avg,song_popularity_std,song_duration_avg,song_duration_std,num_of_artists,artist_popularity_avg,artist_popularity_std,artist_genres,last_update,first_update,active_period,playlist_name_length,name_score,decade_1900,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2000,decade_2010,danceability_avg,danceability_std,energy_avg,energy_std,key_avg,key_std,loudness_avg,loudness_std,mode_avg,mode_std,speechiness_avg,speechiness_std,acousticness_avg,acousticness_std,instrumentalness_avg,instrumentalness_std,liveness_avg,liveness_std,valence_avg,valence_std,tempo_avg,tempo_std,duration_ms_avg,duration_ms_std,time_signature_avg,time_signature_std
18355,1,0,900,53.7,64.6,16.5275527529,222741.01,38805.7415163,122,77.8203125,10.5032982868,78,1512434872.0,1442276544.0,70158328.0,16,0,0,0,0,0,0,0,0,0,0,0.05,0.25,0.7,0.65043,0.140258707751,0.66676,0.164598913727,5.46,3.52539359505,-6.02656,2.00919752797,0.63,0.482804308183,0.07999,0.0655277399275,0.178679236,0.225251873028,0.0248108636,0.102628546175,0.175799,0.125240385256,0.522762,0.215693708198,114.96402,24.6937624727,222746.45,38803.9585404,3.98,0.198997487421
10044,1,0,1000,51.77,63.45,16.6855476386,222895.18,31792.8581016,123,74.6691729323,13.5100752181,63,1512426948.0,1442246010.0,70180938.0,22,0,0,0,0,0,0,0,0,0,0.01,0.12,0.38,0.49,0.64856,0.121683221522,0.6972,0.147526201063,5.18,3.891991778,-5.68119,2.04181111122,0.67,0.47021271782,0.069209,0.0531514535925,0.13104114,0.162031595911,0.0038125564,0.0281586273196,0.148052,0.0994418085918,0.546431,0.213338713643,118.24032,25.2247962766,222895.51,31792.7889725,3.97,0.170587221092
11844,1,0,800,48.6,56.45,17.0565969642,242319.32,49047.3642955,156,73.6705202312,13.044215526,55,1512434845.0,1433262115.0,79172730.0,20,0,0,0,0,0,0,0,0,0,0.01,0.17,0.34,0.48,0.69713,0.153191687438,0.66585,0.149226832373,5.82,3.59827736563,-6.52153,2.2740717247,0.46,0.498397431775,0.187943,0.115450263971,0.14054989,0.166225188483,0.0081072581,0.0427932751985,0.221525,0.169832143233,0.53102,0.221416755464,116.22286,28.5366436057,242319.72,49047.4273774,4.03,0.221585198062
4236,1,0,700,46.77,54.09,20.1092491158,242933.15,51258.1963854,151,74.7388888889,14.7683459876,52,1512435439.0,1447631511.0,64803928.0,16,0,0,0,0,0,0,0,0,0,0.04,0.16,0.28,0.52,0.73129,0.135254300856,0.66356,0.15760991847,5.45,3.63421243188,-6.81759,2.62023843226,0.51,0.499899989998,0.204296,0.112269318088,0.12734462,0.17085025645,0.0063367303,0.0368077707156,0.212701,0.181574227519,0.537326,0.222161070676,115.07396,31.0075453488,242936.68,51266.4215734,3.99,0.360416425819
2623,1,0,600,48.19,59.9,14.8717853669,212141.84,32056.9372295,125,73.5984251969,13.3175982338,48,1512435014.0,1459527600.0,52907414.0,26,0,0,0,0,0,0,0,0,0,0,0,0.24,0.76,0.64291,0.14646781865,0.67366,0.178484689539,4.97,3.45095638918,-5.50251,1.7363714896,0.69,0.462493243194,0.08146,0.0620236051838,0.196722125,0.242111109204,0.002150404,0.0130007818818,0.180439,0.130376918889,0.54656,0.217277763243,121.56326,26.6280582956,212142.79,32057.502025,3.94,0.341174442185
6358,1,0,800,54.48,51.28,18.7216879581,256207.23,79056.9116608,101,66.7227722772,8.78693766352,133,1512435687.0,1433262224.0,79173463.0,17,0,0,0,0,0,0,0,0.05,0.27,0.27,0.14,0.11,0.16,0.49387,0.162788184768,0.73938,0.22190195042,5.52,3.70804530717,-8.14213,3.80844680061,0.82,0.384187454246,0.060114,0.0356278206462,0.1571475485,0.254266624026,0.1615150369,0.296137836399,0.207968,0.163838528973,0.549618,0.251388359468,125.80246,28.8643451654,256241.44,79052.6208985,3.9,0.458257569496
14095,1,0,700,44.36,45.45,20.1873103706,237027.42,49933.1611251,143,70.2427745665,17.5653698105,42,1512438329.0,1442276931.0,70161398.0,23,0,0,0,0,0,0,0,0,0,0,0.07,0.31,0.62,0.73328,0.139111903157,0.65376,0.142445296167,5.26,4.03638452083,-6.42374,2.33009396643,0.58,0.49355850717,0.181754,0.100951885985,0.11748126,0.150364567094,0.0012464787,0.00925755370229,0.204405,0.178417249937,0.477576,0.211764149053,120.16551,29.8948482557,237033.78,49934.1676634,4.03,0.170587221092
2415,1,0,700,55.38,52.9,17.1577970614,244957.28,83006.3396299,175,61.4632768362,13.0561610236,81,1512438409.0,1465401840.0,47036569.0,27,0,0,0,0,0,0,0,0,0,0,0,0.01,0.99,0.72901,0.105502653521,0.70892,0.167131665462,5.32,3.76,-6.2995,2.4391427654,0.49,0.499899989998,0.071392,0.0548465362261,0.099238018,0.143632528616,0.2039089816,0.322451908745,0.166844,0.144463595636,0.504579,0.208084375336,120.75679,15.4143343472,244957.7,83006.3512249,4.0,0.0
2103,1,0,800,43.19,50.49,16.392983255,232333.63,62273.9500361,102,64.6699029126,9.13479249743,139,1512433491.0,1500043349.0,12390142.0,24,0,0,0,0,0,0,0,0,0,0.01,0.1,0.33,0.56,0.49283,0.161877364384,0.70972,0.242788017826,5.29,3.66413700617,-6.79289,3.49528665461,0.74,0.438634243989,0.05699,0.0363658672384,0.2209195282,0.327137059657,0.149171258,0.281856754198,0.221152,0.19451477912,0.470705,0.254873248645,123.91526,29.9972453537,232334.01,62273.9113924,3.92,0.503587132481
8645,1,0,700,49.58,42.78,18.3142458212,239187.7,57825.4311236,124,60.9076923077,12.3234898615,68,1512431174.0,1442276057.0,70155117.0,20,0,0,0,0,0,0,0,0,0,0.04,0.38,0.29,0.29,0.71944,0.147665386601,0.71841,0.149433804409,5.72,3.728484947,-7.02424,2.64074975005,0.5,0.5,0.232804,0.101863572409,0.15626857,0.184015730104,0.0025904644,0.00912748754029,0.23737,0.191057711438,0.597539,0.209933074047,111.06191,29.453919014,239191.23,57832.9117712,4.01,0.360416425819
6522,1,0,700,45.63,48.45,17.2843136977,247122.05,40726.1718465,122,66.0483870968,13.6864984322,65,1512435363.0,1442276627.0,70158736.0,16,0,0,0,0,0,0,0,0,0,0.02,0.2,0.45,0.33,0.6831,0.142790580922,0.61174,0.183023474997,4.92,3.44870990372,-7.41096,2.89630446576,0.46,0.498397431775,0.109497,0.085881630696,0.22185124,0.224203871551,0.0302048737,0.100674251821,0.169181,0.134037926495,0.556496,0.232376013358,112.8536,27.3975490247,247118.4,40725.8788765,3.96,0.344093010682
1721,1,0,700,46.24,45.6,16.7343957166,245627.76,48204.3005984,148,67.3006134969,14.8972492908,48,1512436681.0,1442276787.0,70159894.0,29,0,0,0,0,0,0,0,0,0,0,0.17,0.39,0.44,0.68942,0.145725713585,0.64285,0.146946206144,4.96,3.72,-6.84375,2.49036729169,0.49,0.499899989998,0.181147,0.117224564367,0.14478874,0.189702342707,0.0065767672,0.0369154571625,0.234856,0.165477735856,0.530296,0.216234673408,114.25445,29.6068136129,245628.12,48204.4147628,4.04,0.241660919472
